 userID,Track,artist,genre,  City  ,time,Day

FFB692EC,Kamigata To Boots,The Mass Missile,rock,Saint-Petersburg,20:28:33,Wednesday

55204538,Delayed Because of Accident,Andreas Rönnberg,rock,Moscow,14:07:09,Friday

20EC38,Funiculì funiculà,Mario Lanza,pop,Saint-Petersburg,20:58:07,Wednesday

A3DD03C9,Dragons in the Sunset,Fire + Ice,folk,Saint-Petersburg,08:37:09,Monday

E2DC1FAE,Soul People,Space Echo,dance,Moscow,08:34:34,Monday

842029A1,Преданная,IMPERVTOR,rusrap,Saint-Petersburg,13:09:41,Friday

4CB90AA5,True,Roman Messer,dance,Moscow,13:00:07,Wednesday

F03E1C1F,Feeling This Way,Polina Griffith,dance,Moscow,20:47:49,Wednesday

8FA1D3BE,И вновь продолжается бой,,ruspop,Moscow,09:17:40,Friday

E772D5C0,Pessimist,,dance,Saint-Petersburg,21:20:49,Wednesday

BC5A3A29,Gool la Mita,Shireen Abdul Wahab,world,Moscow,14:08:42,Monday

8B5192C0,Is There Anybody Out There? (Panoramic Paralysis) Mix,Pink Floyd Floydhead,electronic,Moscow,13:47:49,Monday

FF3FD2BD,Мина син генэ кирэк,Ильдар Хакимов,pop,Moscow,09:19:49,Monday

CC782B0F,After School Special,Detroit Grand Pubahs,dance,Moscow,20:04:12,Friday

94EB25C2,Make Love Whenever You Can,Arabesque,pop,Saint-Petersburg,13:22:08,Wednesday

E3C5756F,,,,Moscow,09:24:51,Monday

81D05C7D,SLAVES OF FEAR,HEALTH,alternative,Saint-Petersburg,20:54:48,Monday

39DE290E,Веснянка,Веданъ Колодъ,folk,Saint-Petersburg,14:36:47,Monday

58AE138A,Pat-a-Cake,Mother Goose Club,children,Saint-Petersburg,20:04:56,Monday

772F5B59,Sweetback,The Fabulous Three,rnb,Moscow,13:56:42,Wednesday

201CF2A8,Ya'll In Trouble,Lil Tee Chill Tank Young Buck Brother Mohammed and Tara,hip,Moscow,08:46:03,Monday

44B8E869,Nanovirus,Exotype,rock,Moscow,21:36:40,Monday

B8E29C9C,Самота,,folk,Saint-Petersburg,20:20:49,Wednesday

A729591B,Gavotte,Hachidai Nakamura,jazz,Moscow,13:56:00,Monday

