id,message_date,user_id
1000_0,2018-06-27,1000
1000_1,2018-10-08,1000
1000_2,2018-08-04,1000
1000_3,2018-06-16,1000
1000_4,2018-12-05,1000
1000_5,2018-06-20,1000
1000_6,2018-11-19,1000
1000_7,2018-10-29,1000
1000_8,2018-06-25,1000
1000_9,2018-12-18,1000
1000_10,2018-05-30,1000
1000_11,2018-07-06,1000
1000_12,2018-08-20,1000
1000_13,2018-10-30,1000
1000_14,2018-09-14,1000
1000_15,2018-08-28,1000
1000_16,2018-06-25,1000
1000_17,2018-06-29,1000
1000_18,2018-07-07,1000
1000_19,2018-05-29,1000
1000_20,2018-05-28,1000
1000_21,2018-08-15,1000
1000_22,2018-07-29,1000
1000_23,2018-12-07,1000
1000_24,2018-12-25,1000
1000_25,2018-10-31,1000
1000_26,2018-07-29,1000
1000_27,2018-07-30,1000
1000_28,2018-11-05,1000
1000_29,2018-12-15,1000
1000_30,2018-12-04,1000
1000_31,2018-06-30,1000
1000_32,2018-07-07,1000
1000_33,2018-12-22,1000
1000_34,2018-10-02,1000
1000_35,2018-08-29,1000
1000_36,2018-08-15,1000
1000_37,2018-12-07,1000
1000_38,2018-11-05,1000
1000_39,2018-09-09,1000
1000_40,2018-07-19,1000
1000_41,2018-09-04,1000
1000_42,2018-07-15,1000
1000_43,2018-10-25,1000
1000_44,2018-12-04,1000
1000_45,2018-12-08,1000
1000_46,2018-06-01,1000
1000_47,2018-06-12,1000
1000_48,2018-12-21,1000
1000_49,2018-10-07,1000
1000_50,2018-08-30,1000
1000_51,2018-06-04,1000
1000_52,2018-10-01,1000
1000_53,2018-06-22,1000
1000_54,2018-10-12,1000
1000_55,2018-08-15,1000
1000_56,2018-10-15,1000
1000_57,2018-10-24,1000
1000_58,2018-09-20,1000
1000_59,2018-08-22,1000
1000_60,2018-09-17,1000
1000_61,2018-06-16,1000
1000_62,2018-08-27,1000
1000_63,2018-05-28,1000
1000_64,2018-09-04,1000
1000_65,2018-07-26,1000
1000_66,2018-06-05,1000
1000_67,2018-10-24,1000
1000_68,2018-12-18,1000
1000_69,2018-11-16,1000
1000_70,2018-09-06,1000
1000_71,2018-06-27,1000
1000_72,2018-12-04,1000
1000_73,2018-11-26,1000
1000_74,2018-11-18,1000
1000_75,2018-09-21,1000
1000_76,2018-07-11,1000
1000_77,2018-07-16,1000
1000_78,2018-11-08,1000
1000_79,2018-07-25,1000
1000_80,2018-09-13,1000
1000_81,2018-08-13,1000
1000_82,2018-12-31,1000
1000_83,2018-06-10,1000
1000_84,2018-06-28,1000
1000_85,2018-09-18,1000
1000_86,2018-06-16,1000
1000_87,2018-10-11,1000
1000_88,2018-07-15,1000
1000_89,2018-12-12,1000
1000_90,2018-07-12,1000
1000_91,2018-10-31,1000
1000_92,2018-09-01,1000
1000_93,2018-07-23,1000
1000_94,2018-09-22,1000
1000_95,2018-08-17,1000
1000_96,2018-05-30,1000
1000_97,2018-07-30,1000
1000_98,2018-06-22,1000
1000_99,2018-09-29,1000
1000_100,2018-08-20,1000
1000_101,2018-07-22,1000
1000_102,2018-06-18,1000
1000_103,2018-07-07,1000
1000_104,2018-06-14,1000
1000_105,2018-07-29,1000
1000_106,2018-12-10,1000
1000_107,2018-11-19,1000
1000_108,2018-11-29,1000
1000_109,2018-11-21,1000
1000_110,2018-12-28,1000
1000_111,2018-11-30,1000
1000_112,2018-10-24,1000
1000_113,2018-08-29,1000
1000_114,2018-08-28,1000
1000_115,2018-07-26,1000
1000_116,2018-08-31,1000
1000_117,2018-06-26,1000
1000_118,2018-07-21,1000
1000_119,2018-07-26,1000
1000_120,2018-11-15,1000
1000_121,2018-11-30,1000
1000_122,2018-12-07,1000
1000_123,2018-12-12,1000
1000_124,2018-10-06,1000
1000_125,2018-06-13,1000
1000_126,2018-12-29,1000
1000_127,2018-11-10,1000
1000_128,2018-08-24,1000
1000_129,2018-12-08,1000
1000_130,2018-11-30,1000
1000_131,2018-09-13,1000
1000_132,2018-11-07,1000
1000_133,2018-09-19,1000
1000_134,2018-08-10,1000
1000_135,2018-12-31,1000
1000_136,2018-11-15,1000
1000_137,2018-08-20,1000
1000_138,2018-07-08,1000
1000_139,2018-05-25,1000
1000_140,2018-11-16,1000
1000_141,2018-08-21,1000
1000_142,2018-07-28,1000
1000_143,2018-09-21,1000
1000_144,2018-07-31,1000
1000_145,2018-11-03,1000
1000_146,2018-06-18,1000
1000_147,2018-08-20,1000
1000_148,2018-11-04,1000
1000_149,2018-10-26,1000
1000_150,2018-07-01,1000
1000_151,2018-08-24,1000
1000_152,2018-12-05,1000
1000_153,2018-08-31,1000
1000_154,2018-11-29,1000
1000_155,2018-09-23,1000
1000_156,2018-08-25,1000
1000_157,2018-07-18,1000
1000_158,2018-08-29,1000
1000_159,2018-07-06,1000
1000_160,2018-06-13,1000
1000_161,2018-11-02,1000
